date,000016.XSHG,000905.XSHG,000300.XSHG,399673.XSHE
2016/5/18,2078.76,5631.19,3068.04,1929.91
2016/5/19,2073.8,5666.73,3062.5,1950.68
2016/5/20,2083.12,5732.9,3078.22,1979.65
2016/5/23,2082.41,5809.48,3087.22,2004.51
2016/5/24,2066.64,5743.18,3063.56,1986.76
2016/5/25,2071.91,5715.18,3059.23,1981.91
2016/5/26,2076.14,5744.39,3064.21,1999.82
2016/5/27,2074.92,5739.59,3062.5,1981.88
2016/5/30,2092.16,5711.32,3066.71,1971.56
2016/5/31,2155.66,5947.32,3169.56,2068.74
2016/6/1,2138.96,5973.78,3160.55,2071.02
2016/6/2,2137.65,6013.89,3167.1,2089.32
2016/6/3,2152.64,6032.6,3189.33,2107.6
2016/6/6,2136.32,6051.86,3178.79,2103.71
2016/6/7,2139.07,6045.36,3177.05,2097.21
2016/6/8,2132.96,6023.88,3163.99,2087.68
2016/6/13,2084.3,5746.44,3066.34,1945.7
2016/6/14,2095.02,5762.76,3075.98,1943.48
2016/6/15,2106.63,5952.85,3116.37,2009.3
2016/6/16,2094.81,5930.55,3094.67,1981.88
2016/6/17,2102.2,5964.27,3110.36,1999.35
2016/6/20,2104.22,5985.57,3112.67,1994.79
2016/6/21,2104.56,5916.8,3106.32,1965.74
2016/6/22,2115.77,6008.89,3133.96,2017.56
2016/6/23,2105.53,5978.17,3117.32,2010.18
2016/6/24,2076.3,5903.62,3077.16,1994.52
2016/6/27,2095.89,6044.22,3120.54,2052.64
2016/6/28,2102.05,6107.51,3136.4,2079.42
2016/6/29,2122.97,6120.2,3151.39,2070.65
2016/6/30,2122.63,6123.49,3153.92,2099.18
2016/7/1,2127.09,6111.54,3154.2,2076.74
2016/7/4,2163.29,6231.88,3204.7,2116.37
2016/7/5,2168.86,6269.5,3207.38,2115.29
2016/7/6,2167.1,6297.4,3216.8,2112.85
2016/7/7,2166.88,6319.79,3209.95,2108.17
2016/7/8,2148.76,6299.85,3192.28,2111.25
2016/7/11,2155.72,6312.5,3203.33,2092.86
2016/7/12,2200.35,6395.14,3273.18,2121.15
2016/7/13,2197.79,6446.56,3282.87,2159.89
2016/7/14,2195.23,6455.58,3276.76,2167.64
2016/7/15,2192.39,6441.02,3276.28,2138.32
2016/7/18,2187.98,6412.07,3262.02,2119.96
2016/7/19,2175.4,6431.94,3248.23,2144.81
2016/7/20,2167.12,6417.92,3237.61,2144.38
2016/7/21,2177.78,6442.71,3252.52,2138.42
2016/7/22,2157.23,6390.93,3225.16,2121.8
2016/7/25,2159.55,6408.78,3230.89,2113.2
2016/7/26,2182.51,6494.47,3269.59,2146.36
2016/7/27,2173.97,6229.29,3218.24,2019.69
2016/7/28,2163.81,6243.29,3221.14,2007.19
2016/7/29,2155.24,6202.89,3203.93,1988.03
2016/8/1,2147.56,6109.28,3176.81,1963.86
2016/8/2,2148.45,6168.51,3189.05,1979.5
2016/8/3,2145.79,6198.39,3193.51,1972.33
2016/8/4,2143.84,6238.23,3201.29,1997.4
2016/8/5,2148.68,6203.29,3205.11,1972.28
2016/8/8,2159.67,6290.76,3234.18,1991.16
2016/8/9,2175.34,6341.55,3256.98,2013.3
2016/8/10,2170.1,6318.27,3243.34,1995.23
2016/8/11,2177.06,6226.31,3233.36,1963.56
2016/8/12,2222.49,6299.09,3294.23,1982.78
2016/8/15,2287.66,6442.53,3393.42,2058.08
2016/8/16,2257.7,6468.89,3378.25,2067.7
2016/8/17,2253.74,6488.36,3373.05,2072.31
2016/8/18,2244.72,6490.41,3364.49,2067.56
2016/8/19,2249.34,6499.55,3365.02,2063.41
2016/8/22,2237.13,6420.35,3336.79,2022.88
2016/8/23,2241.95,6428.7,3341.83,2030.4
2016/8/24,2232.21,6435.06,3329.86,2046.39
2016/8/25,2222.15,6382.57,3308.97,2027.93
2016/8/26,2219.31,6410.73,3307.09,2039.14
2016/8/29,2214.26,6427.53,3307.78,2042.49
2016/8/30,2224.06,6425.75,3311.99,2045.72
2016/8/31,2232.71,6434.21,3327.79,2047.23
2016/9/1,2220.4,6381.48,3301.58,2033.48
2016/9/2,2229.89,6356.95,3314.11,2024.26
2016/9/5,2228.72,6391.79,3319.68,2034.1
2016/9/6,2232.45,6492.97,3342.63,2069.1
2016/9/7,2236.55,6494.32,3340.82,2058.55
2016/9/8,2236.63,6517.98,3339.56,2073.29
2016/9/9,2229.31,6471.05,3318.04,2046.47
2016/9/12,2199.98,6291.64,3262.6,1990.86
2016/9/13,2193.19,6320.03,3260.33,1980.87
2016/9/14,2176.52,6278.16,3238.73,1976.44
2016/9/19,2189.46,6344.18,3263.12,1998.01
2016/9/20,2184.21,6342.03,3257.4,1993.34
2016/9/21,2187.15,6343.75,3266.64,1994.53
2016/9/22,2200.7,6385.64,3291.12,1999.1
2016/9/23,2196.29,6370.58,3275.67,1980.71
2016/9/26,2167.26,6241.52,3220.28,1947.89
2016/9/27,2176.45,6286.91,3240.75,1967.32
2016/9/28,2166.72,6281.28,3230.89,1960.73
2016/9/29,2175.37,6298.79,3244.39,1963.52
2016/9/30,2177.35,6328.09,3253.28,1968.81
2016/10/10,2202.87,6447.69,3293.87,2022.55
2016/10/11,2209.23,6486.43,3306.56,2022.58
2016/10/12,2201,6482.74,3300.01,2021.27
2016/10/13,2202.12,6484.83,3302.65,2020.53
2016/10/14,2209.81,6469.49,3305.85,2003.9
2016/10/17,2192.88,6413.15,3277.88,1981.93
2016/10/18,2222.78,6509.28,3321.33,2012.32
2016/10/19,2221.53,6495.26,3316.24,2001.55
2016/10/20,2223.42,6498.24,3318.6,2005.32
2016/10/21,2240.75,6475.28,3327.74,1996.38
2016/10/24,2270.95,6539.47,3367.58,2016.54
2016/10/25,2266.17,6563.35,3367.45,2020.4
2016/10/26,2257.12,6530.39,3354.8,2008.66
2016/10/27,2250.26,6517.36,3345.7,2010.05
2016/10/28,2253.8,6455.83,3340.13,1995.46
2016/10/31,2250.47,6452.21,3336.28,1989.1
2016/11/1,2263.48,6507.95,3359.05,2002.78
2016/11/2,2244.74,6455.13,3333.35,1970.19
2016/11/3,2273.63,6483.73,3365.09,1977.2
2016/11/4,2271.93,6462.59,3354.17,1969.75
